회사,킥스비율_당기,킥스비율_전기
미래에셋생명,167.6,176.7
삼성생명,209.9,198.0
교보생명,161.92,214.23
한화생명,162.1,157.5
신한라이프생명,200.6,206.0
동양생명,185.8,179.8
삼성화재,270.13,262.87
현대해상,207.2,190.1
메리츠화재,240.7,241.3
KB손해보험,188.01,191.54
DB손해보험,232.1,218.2
