key,Col2,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col24,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col55,Col56,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col68,Col69,Col70,Col71,Col72,Col99
2503미래,2503,32214588.505664,15112991.502851,12442117.804534,3110827.729214,142042.965503,0.46913501627356874,0.38622619073176784,0.09656580678244739,29747791.285061,26550413.233904,2466797.220603,2466797.220603,,-301370.406516,1967243.847174,2553237.949768,2553237.949768,,-301370.406516,0.0,38885.306583,265006.263782,226120.957199,352.608881,-16143.160979,249.762431,-6805.795386999998,5082.588551,28134.391367,39237.915464,-973.4016,38264.513864,24319.768175,0.0,1.1368683772161603e-13,0.0,38885.306583,352.608881,-973.4016,38264.513864,-190609.909176,294887.487859,-468292.981578,62495.836189,-0.003762,149.163952,,-301370.406516,1.4551915228366852e-11,1942924.078999,,24319.768175,,,1967243.847174,0.0,
2503삼성,2503,281011504.0,34343581.0,168070744.0,45712850.0,22163909.0,0.12221414607994127,0.5980920411002106,0.16267252176266778,257067089.0,208066521.0,23944415.0,23944415.0,,11823636.0,14125017.0,25097358.0,25097358.0,,11823636.0,0.0,277882.0,2419778.0,2141896.0,199067.0,-1915002.0,17501.0,2191208.0,76584.0,-18056.0,476949.0,331502.0,808451.0,703719.0,0.0,0.0,0.0,277882.0,199067.0,331502.0,808451.0,13101010.0,2657362.0,-4160329.0,226572.0,,-979.0,,11823636.0,,14000586.0,,703719.0,228798.0,,14125017.0,0.0,
2503교보,2503,126859785.228232,33157762.128662,61122832.921236,21902515.984605,2962428.410329,0.26137331124286745,0.48181409744049786,0.17265137210504047,120327285.76426,98627700.365508,4326773.255759001,6532499.463972,2205726.208213,-3143991.714419,7199743.366868,7305017.718577,5099291.510364,,-3143991.714419,0.0,163110.340125,970191.269151,807080.929026,242344.822745,-1128993.921725,-546.077459,1126529.672331,15848.336368,261203.485966,405455.16287,4911.592125,410366.754995,315282.486839,0.0,-8.731149137020111e-11,0.0,163110.340125,242344.822745,4911.592125,410366.754995,-2205732.209538,893186.898872,-1874117.708752,,,-216.375094,,-3143991.714419,,7034002.116592,,315282.486839,,,7199743.366868,0.0,
2503한화,2503,125760878.0,32387154.0,47946555.0,28551641.0,11733211.0,0.2575296428830594,0.38125175143894907,0.22703118373585146,115594958.0,101208409.0,8470815.0,10165920.0,1695105.0,,6994859.0,10335004.0,9238177.0,125760878.0,,,104208.0,1277935.0,1173727.0,20871.0,-1061434.0,998.0,1200739.0,23808.0,-95624.0,125079.0,27052.0,152131.0,121991.0,0.0,0.0,0.0,104208.0,20871.0,27052.0,152131.0,,990494.0,-2079808.0,220069.0,2435.0,,,,,6886477.0,,121991.0,,,6994859.0,0.0,
2503신한라이프,2503,60193893.0,11699546.0,38140765.0,3936399.0,314581.0,0.19436433526570543,0.633631803811061,0.06539532174800523,54035219.0,50191711.0,5859222.0,6158674.0,299452.0,-2162591.0,6622055.0,7062568.0,6763116.0,,-2162591.0,0.0,189026.0,764463.0,555284.0,41220.0,-452476.0,429.0,516450.0,3646.0,-19537.0,230246.0,-6961.0,223285.0,165632.0,0.0,0.0,0.0,189026.0,41220.0,-6961.0,223285.0,-1474062.0,686759.0,-1420753.0,45143.0,,,,-2162591.0,,6837420.0,,165632.0,,,6622055.0,0.0,
2503동양,2503,35191700.895998,5927777.722747,20858794.351852,6559862.106122,115233.888909,0.16844248990025676,0.5927191303852001,0.18640366731657426,33666177.100012,29330677.006867,1180956.435239,1525523.795986,344567.360747,-1626743.836739,1596767.530773,2010539.027552,1665971.666805,,-1626743.836739,0.0,4071.067425,319287.703901,315216.636476,55389.596159,-270554.634358,3628.655164,291485.55085400003,869.929963,31699.954462,59460.663584,-5026.845763000005,54433.817821,46739.82659,0.0,2.1827872842550278e-11,0.0,4071.067425,55389.596159,-5026.845763000005,54433.817821,-1105739.275686,174740.859051,-737731.928037,41351.162062,9.573212,-2231.105228,,-1626743.836739,2856.877887000097,1561498.237695,,46739.82659,,,1596767.530773,0.0,
2503KB라이프,2503,35021300.0,8556744.0,22820231.0,1852356.0,149744.0,0.24432970792060832,0.6516100487417658,0.0528922684195047,30859865.0,28915618.0,4111635.0,4161435.0,49800.0,27786.0,3105546.0,4537158.0,4487358.0,,27786.0,0.0,77253.0,218286.0,141033.0,43008.0,-330675.0,-92.0,,,20309.0,120261.0,503.0,120764.0,90315.0,0.0,,0.0,77253.0,43008.0,503.0,120764.0,363125.0,433121.0,-770000.0,-1883.0,,-38.0,,27786.0,,3145930.0,-130000.0,90315.0,,-699.0,3105546.0,0.0,
2503삼성화재,2503,86372190.309067,12738820.165581,38638753.217122,29515217.688414,750161.218737,0.14748752023073022,0.4473517816192959,0.34172130616115237,71349476.577413,51961988.308162,15022713.731654,15022713.731654,,2307195.774284,13233314.876819,15295837.547477,15295837.547477,86372190.309067,2307195.774284,0.0,481593.295456,4809826.336022,4328233.040566,271543.41725,-347213.644878,21222.107439,493046.14695899986,7590.385282,112079.193012,753136.712706,1820.3728230000706,754957.085529,555633.843427,0.0,-1.7462298274040222e-10,1.1641532182693481e-10,481593.295456,271543.41725,1820.3728230000706,754957.0855290001,2368463.818689,590563.053944,,,,,,2307195.774284,,13445170.648237,,555633.843427,40204.595255,,13233314.876819,0.0,2686847.066176
2503현대해상,2503,49568315.070657,9926400.700203,24326805.158966,11238304.33217,289287.607938,0.20025697234318823,0.4907732918556831,0.22672354943173667,45355476.20741,36730148.738468,4212838.863247,4212838.863247,0.0,-3471898.922546,7594572.171795,4927149.05341,4927149.05341,49568315.070657,-3471898.922546,0.0,175913.949482,3526542.728226,3350628.778744,109143.516292,-210361.307243,326.567188,329228.13655299996,2139.795879,-7910.084327,285057.465774,-12780.105645,272277.360129,203195.245062,0.0,-4.3655745685100555e-11,0.0,175913.949482,109143.516292,-12780.105645,272277.360129,-2554393.487321,406084.874248,-1329682.968961,7402.497308,172.757755,-5918.082416,1913.695536,-3471898.922546,2521.791304999846,7391376.926733,,203195.245062,,,7594572.171795,0.0,4161025.251162
2503메리츠화재,2503,44426134.909558,8243793.422945,30918911.814647,1450343.843757,145318.694397,0.1855617968956242,0.6959622275849838,0.03264618555518247,39173541.920856,25971651.582767,4968863.308702,5252592.988702,283729.68,-605835.305993,5413297.496289,5740086.305047,5456356.625047,44426134.909558,-605835.305993,0.0,359840.075626,2356025.936379,1996185.860753,262066.998393,-168056.83015,6245.607863,335937.977066,2400.919476,90341.16309,621907.074019,2109.6886,624016.762619,462513.372349,0.0,0.0,-1.1641532182693481e-10,359840.075626,262066.998393,2109.6886,624016.7626189999,-171377.796805,445365.382448,-1047086.231137,167532.899966,,-269.560465,,-605835.305993,,5466333.303446,,462513.372349,,,5413297.496289,0.0,2019070.605177
